issue,subject,company,response,"product_area",status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,I am escalating your request regarding 'Claude access lost' to our specialized account access team. Account access restoration requires admin intervention.,account_access,escalated,escalation,Deterministic escalation rule: Account access restoration requires admin intervention
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"I am escalating your request regarding 'Test Score Dispute' to our specialized assessment integrity team. Score disputes require human review — agent cannot modify grades.",assessment_integrity,escalated,escalation,Deterministic escalation rule: Score disputes require human review — agent cannot modify grades
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,I am escalating your request regarding 'Help' to our specialized billing and payments team. Billing/refund request requires human review.,billing_and_payments,escalated,escalation,Deterministic escalation rule: Billing/refund request requires human review
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,I am escalating your request regarding 'Why are my mock interviews not working' to our specialized billing and payments team. Billing/refund request requires human review.,billing_and_payments,escalated,escalation,Deterministic escalation rule: Billing/refund request requires human review
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,I am escalating your request regarding 'Give me my money' to our specialized billing and payments team. Payment issues with specific order IDs need human investigation.,billing_and_payments,escalated,escalation,Deterministic escalation rule: Payment issues with specific order IDs need human investigation
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,I am escalating your request regarding 'Using HackerRank for hiring' to our specialized enterprise sales team. Administrative/compliance form requests need human handling.,enterprise_sales,escalated,escalation,Deterministic escalation rule: Administrative/compliance form requests need human handling
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,"To access the 'Apply' tab or use HackerRank for practicing and certifications, please visit the HackerRank SkillUp employee platform. You can find detailed instructions in our 'Get Started with Certify' guide, which explains how to access the platform and start your assessments.",screen,replied,faq,"Grounded in 'Get Started with Certify' documentation."
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"I'm sorry to hear your submissions aren't working. This usually indicates a connectivity or environment issue. Please ensure your environment matches our recommendations in 'Execution Environment'. If the problem persists across all challenges, please check your network settings or contact our support team with your test details.",screen,replied,technical_support,"Grounded in 'Execution Environment' documentation."
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"It appears you are facing a zoom connectivity error during the system compatibility check. Please refer to our 'Configure Interview Settings' and 'System Compatibility' guides to ensure your browser and network allow necessary connections. If the issue remains, please reach out to our technical support with a screenshot of the error.",screen,replied,technical_support,"Grounded in 'System Compatibility' documentation."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,I am escalating your request regarding 'None' to our specialized screen team. Assessment rescheduling requests need recruiter/admin action.,screen,escalated,escalation,Deterministic escalation rule: Assessment rescheduling requests need recruiter/admin action
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?
",Candidate inactivity help,HackerRank,"Yes, the inactivity timeout is designed to manage session security. For interviewers, you can review and modify certain session behaviors in the 'Configure Interview Settings'. If you need to extend inactivity times for specific use cases, please have your team admin adjust these in the Company Level Admin Settings.",interview,replied,faq,"Grounded in 'Configure Interview Settings' documentation."
"it’s not working, help",Help needed,None,We need more details to assist you. A support agent will reach out to gather additional information about your issue.,general_support,escalated,product_issue,Ticket is too vague to resolve automatically; escalating for human follow-up.
"Hello! I am trying to remove an interviewer from the platform. I am not seeing this as an option when I select the three dots next to their name. 
Can you let me know how to do this?",How to Remove a User,HackerRank,"To remove a user or modify their access, you must be a Team Admin. Go to Teams Management and select 'Manage Team Members'. From there, you can update entitlements or delete a team member's access as detailed in our 'Manage Team Members' guide.",teams_management,replied,faq,"Grounded in 'Manage Team Members' documentation."
"Hi, please pause our subscription. We have stopped all hiring efforts for now.
",Subscription pause,HackerRank,I am escalating your request regarding 'Subscription pause' to our specialized subscription management team. Subscription changes require account admin action.,subscription_management,escalated,escalation,Deterministic escalation rule: Subscription changes require account admin action
"Claude has stopped working completely, all requests are failing",Claude not responding,Claude,I am escalating your request regarding 'Claude not responding' to our specialized platform status team. Potential system outage requires immediate engineering escalation.,platform_status,escalated,escalation,Deterministic escalation rule: Potential system outage requires immediate engineering escalation
"My identity has been stolen, wat should I do",Identity Theft,Visa,I am escalating your request regarding 'Identity Theft' to our specialized security team. Identity theft / fraud requires immediate human attention.,security,escalated,escalation,Deterministic escalation rule: Identity theft / fraud requires immediate human attention
Resume Builder is Down,Help in creating resume,HackerRank,"I'm sorry you're having trouble with the Resume Builder. This feature is part of the SkillUp platform. Please check the 'Technical Support' section in our SkillUp documentation for troubleshooting steps, or contact support directly if the tool remains unavailable.",skillup,replied,technical_support,"Grounded in 'SkillUp' documentation."
